id,generate,real
0,Satyricon,As I Lay Dying
1,James Blunt,Disturbed
2,Kanye West,Enrique Iglesias
3,Eyes Set to Kill,William Fitzsimmons
4,Norther,Charles Mingus
5,Ice Cube,Yolanda Be Cool & DCUP
6,O-Zone,Finger Eleven
7,Band of Horses,H2O
8,Kate Voegele,Avril Lavigne
9,Gov't Mule,Kristinia DeBarge
10,Visage,The Go-Go's
11,Beyoncé,Beyoncé
12,Sugarland,Radiohead
13,Air Supply,Bloodhound Gang
14,Timbaland,White Zombie
15,Paramore,Paramore
16,Oasis,Salem
17,ルルティア,Jamie Cullum
18,Everything Everything,UNKLE
19,Kat DeLuna,Sade
20,12 Stones,BoA
21,All Saints,The Golden Filter
22,Living Colour,Madlib
23,White Zombie,Bill Evans
24,Rainbow,Rainbow
25,Jay-Z,Beastie Boys
26,Amon Amarth,Simple Plan
27,Within Temptation,Antimatter
28,Chiodos,Hurts
29,Dawn of Ashes,Scout Niblett
30,nevershoutnever!,nevershoutnever!
31,Adam Lambert,Rihanna
32,Slaughter,L7
33,Lacuna Coil,Kate Bush
34,Mariah Carey,P!nk
35,"Woe, Is Me","Woe, Is Me"
36,Adam Lambert,Adam Lambert
37,Her Space Holiday,A Static Lullaby
38,David Guetta,David Guetta
39,RBD,RBD
40,Rise Against,Rise Against
41,Zoviet France,Black Flag
42,Creedence Clearwater Revival,Dulce María
43,Judas Priest,Judas Priest
44,Bob Dylan,Ramones
45,Ayria,Ayria
46,Liars,RBD
47,Stacie Orrico,Kanye West
48,Demons & Wizards,Iron Maiden
49,Nirvana,Nirvana
50,U2,The Veronicas
51,Lucinda Williams,Depeche Mode
52,Kasabian,Kasabian
53,Sex Pistols,Sex Pistols
54,Madeleine Peyroux,Madeleine Peyroux
55,Automatic Loveletter,Cat Stevens
56,Carter Burwell,Katy Perry
57,Inspiral Carpets,Seabear
58,Blockhead,Mitchel Musso
59,Paula DeAnda,Snow Patrol
